127.0.0.1, 2020-05-13 17:26:35, GET, /examples/default/index, HTTP/1.1, 200, 0.060374
127.0.0.1, 2020-05-13 17:26:35, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.014043
127.0.0.1, 2020-05-13 17:26:35, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.013960
127.0.0.1, 2020-05-13 17:26:35, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.018585
127.0.0.1, 2020-05-13 17:26:35, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000412
127.0.0.1, 2020-05-13 17:26:35, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.020595
127.0.0.1, 2020-05-13 17:26:35, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.021719
127.0.0.1, 2020-05-13 17:26:35, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.022675
127.0.0.1, 2020-05-13 17:26:36, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.009727
127.0.0.1, 2020-05-13 17:26:36, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.011394
127.0.0.1, 2020-05-13 17:26:36, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.010629
127.0.0.1, 2020-05-13 17:26:36, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.013798
127.0.0.1, 2020-05-13 17:26:36, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.013037
127.0.0.1, 2020-05-13 17:26:36, GET, /examples/static/images/favicon.png, HTTP/1.1, 200, 0.008064
127.0.0.1, 2020-05-13 17:26:36, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001484
127.0.0.1, 2020-05-13 17:27:32, GET, /examples/default/index.html, HTTP/1.1, 200, 0.008624
127.0.0.1, 2020-05-13 17:27:32, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.000888
127.0.0.1, 2020-05-13 17:27:32, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000503
127.0.0.1, 2020-05-13 17:27:32, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000455
127.0.0.1, 2020-05-13 17:27:32, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.001425
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/default/index.html, HTTP/1.1, 200, 0.009703
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000498
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000501
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.001315
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.000338
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000673
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.000393
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000498
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 304, 0.000497
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/static/images/book-5th.png, HTTP/1.1, 304, 0.000291
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 304, 0.000299
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 304, 0.000353
127.0.0.1, 2020-05-13 17:28:05, GET, /examples/static/images/videos.png, HTTP/1.1, 304, 0.000265
127.0.0.1, 2020-05-13 17:29:07, GET, /examples/default/index.html, HTTP/1.1, 200, 0.002610
127.0.0.1, 2020-05-13 17:29:08, GET, /examples/default/css/estilos.css, HTTP/1.1, 404, 0.002840
127.0.0.1, 2020-05-13 17:29:08, GET, /examples/default/home.html, HTTP/1.1, 404, 0.002289
127.0.0.1, 2020-05-13 17:33:39, GET, /examples/default/index.html, HTTP/1.1, 200, 0.052809
127.0.0.1, 2020-05-13 17:33:39, GET, /examples/static/css/calendar.css, HTTP/1.1, 304, 0.000572
127.0.0.1, 2020-05-13 17:33:39, GET, /examples/static/css/web2py.css, HTTP/1.1, 304, 0.000460
127.0.0.1, 2020-05-13 17:33:39, GET, /examples/static/css/stupid.css, HTTP/1.1, 304, 0.000470
127.0.0.1, 2020-05-13 17:33:39, GET, /examples/static/css/examples.css, HTTP/1.1, 304, 0.000494
127.0.0.1, 2020-05-13 17:33:39, GET, /examples/static/js/jquery.js, HTTP/1.1, 304, 0.000470
127.0.0.1, 2020-05-13 17:33:39, GET, /examples/static/js/calendar.js, HTTP/1.1, 304, 0.000467
127.0.0.1, 2020-05-13 17:33:39, GET, /examples/static/js/web2py.js, HTTP/1.1, 304, 0.000422
127.0.0.1, 2020-05-13 17:34:20, GET, /admin/, HTTP/1.1, 303, 0.003518
127.0.0.1, 2020-05-13 17:34:20, GET, /admin/default/site, HTTP/1.1, 200, 0.031728
127.0.0.1, 2020-05-13 17:34:40, POST, /admin/default/site, HTTP/1.1, 303, 0.099544
127.0.0.1, 2020-05-13 17:34:40, GET, /admin/default/design/voar_voar, HTTP/1.1, 200, 0.236738
127.0.0.1, 2020-05-13 17:34:40, GET, /admin/static/_2.20.4/images/help.png, HTTP/1.1, 200, 0.000482
127.0.0.1, 2020-05-13 17:34:40, GET, /admin/static/_2.20.4/images/delete_icon.png, HTTP/1.1, 200, 0.000774
127.0.0.1, 2020-05-13 17:34:40, GET, /admin/static/_2.20.4/images/search.png, HTTP/1.1, 200, 0.002430
127.0.0.1, 2020-05-13 17:34:40, GET, /admin/static/_2.20.4/images/test_icon.png, HTTP/1.1, 200, 0.000748
127.0.0.1, 2020-05-13 17:34:44, GET, /admin/default/site, HTTP/1.1, 200, 0.037577
127.0.0.1, 2020-05-13 17:42:56, GET, /welcome/default/index, HTTP/1.1, 200, 0.028403
127.0.0.1, 2020-05-13 17:42:56, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000493
127.0.0.1, 2020-05-13 17:42:56, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000543
127.0.0.1, 2020-05-13 17:42:59, GET, /admin/default/site, HTTP/1.1, 200, 0.062328
127.0.0.1, 2020-05-13 17:42:59, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.1, 200, 0.000558
127.0.0.1, 2020-05-13 17:42:59, GET, /admin/static/_2.20.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000510
127.0.0.1, 2020-05-13 17:42:59, GET, /admin/static/_2.20.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000741
127.0.0.1, 2020-05-13 17:42:59, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000637
127.0.0.1, 2020-05-13 18:01:46, GET, /, HTTP/1.1, 303, 0.001443
127.0.0.1, 2020-05-13 18:01:50, GET, /welcome/default/index, HTTP/1.1, 200, 0.198158
127.0.0.1, 2020-05-13 18:01:53, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001036
127.0.0.1, 2020-05-13 18:01:54, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000451
127.0.0.1, 2020-05-13 18:01:54, GET, /welcome/static/images/favicon.png, HTTP/1.1, 200, 0.000540
127.0.0.1, 2020-05-13 18:01:54, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000822
127.0.0.1, 2020-05-13 18:02:02, GET, /admin/, HTTP/1.1, 200, 0.184163
127.0.0.1, 2020-05-13 18:02:02, GET, /admin/static/_2.20.4/images/questions.png, HTTP/1.1, 200, 0.000562
127.0.0.1, 2020-05-13 18:02:02, GET, /admin/static/_2.20.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000465
127.0.0.1, 2020-05-13 18:02:02, GET, /admin/static/_2.20.4/css/calendar.css, HTTP/1.1, 200, 0.000539
127.0.0.1, 2020-05-13 18:02:02, GET, /admin/static/_2.20.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000570
127.0.0.1, 2020-05-13 18:02:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000368
127.0.0.1, 2020-05-13 18:02:06, POST, /admin/default/index, HTTP/1.1, 303, 0.013399
127.0.0.1, 2020-05-13 18:02:06, GET, /admin/default/site, HTTP/1.1, 200, 0.086489
127.0.0.1, 2020-05-13 18:02:07, GET, /admin/static/_2.20.4/images/folder_locked.png, HTTP/1.1, 200, 0.001058
127.0.0.1, 2020-05-13 18:02:07, GET, /admin/static/_2.20.4/images/folder.png, HTTP/1.1, 200, 0.000524
127.0.0.1, 2020-05-13 18:02:07, GET, /admin/static/_2.20.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000567
127.0.0.1, 2020-05-13 18:02:08, POST, /admin/default/check_version, HTTP/1.1, 200, 0.858994
127.0.0.1, 2020-05-15 14:12:10, GET, /, HTTP/1.1, 303, 0.001444
127.0.0.1, 2020-05-15 14:12:10, GET, /welcome/default/index, HTTP/1.1, 200, 0.380775
